,Airline,Source,Destination,Total_Stops,Price,Duration_In_Min,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Journey_month,Journey_day
30,Vistara,Chennai,Kolkata,0,3687,135.0,7,5,9,20,June,Tuesday
31,Air India,Kolkata,Banglore,2,13227,805.0,9,50,23,15,May,Wednesday
32,IndiGo,Banglore,Delhi,0,4423,170.0,4,0,6,50,April,Saturday
33,Jet Airways,Delhi,Cochin,2,10919,1320.0,14,35,12,35,June,Saturday
34,Jet Airways,Delhi,Cochin,1,12373,330.0,7,5,12,35,May,Saturday
35,IndiGo,Delhi,Cochin,1,5894,625.0,10,35,21,0,June,Thursday
36,SpiceJet,Kolkata,Banglore,1,4649,315.0,15,5,20,20,May,Tuesday
37,Air India,Kolkata,Banglore,0,6245,150.0,14,15,16,45,May,Saturday
38,Jet Airways,Banglore,New Delhi,1,19225,375.0,7,0,13,15,March,Wednesday
39,Jet Airways,Delhi,Cochin,1,14924,715.0,7,5,19,0,June,Monday
40,Multiple carriers,Delhi,Cochin,1,9646,665.0,7,5,18,10,May,Tuesday
41,Air India,Banglore,New Delhi,1,8714,510.0,6,45,15,15,March,Friday
42,Jet Airways,Delhi,Cochin,1,12373,1325.0,20,55,19,0,May,Saturday
43,Air Asia,Banglore,Delhi,0,3383,165.0,11,10,13,55,May,Monday
44,Multiple carriers,Delhi,Cochin,1,13062,720.0,9,0,21,0,March,Thursday
45,SpiceJet,Banglore,New Delhi,0,3527,170.0,5,45,8,35,March,Sunday
46,IndiGo,Banglore,Delhi,0,3943,170.0,4,0,6,50,May,Monday
47,Air India,Chennai,Kolkata,0,4667,135.0,11,40,13,55,May,Friday
48,Air India,Kolkata,Banglore,1,6117,965.0,19,0,11,5,May,Wednesday
49,Jet Airways,Delhi,Cochin,2,11150,1195.0,23,5,19,0,June,Thursday
50,Jet Airways,Delhi,Cochin,0,7202,195.0,11,0,14,15,March,Saturday
51,Jet Airways,Kolkata,Banglore,1,12121,1520.0,9,35,10,55,May,Wednesday
52,IndiGo,Banglore,New Delhi,0,4377,170.0,22,20,1,10,March,Sunday
53,IndiGo,Banglore,Delhi,0,3943,180.0,21,15,0,15,June,Tuesday
54,Air Asia,Banglore,Delhi,0,4483,170.0,23,55,2,45,April,Wednesday
55,Jet Airways,Kolkata,Banglore,1,14231,975.0,19,45,12,0,March,Sunday
56,Air India,Banglore,New Delhi,2,17345,905.0,8,50,23,55,March,Friday
57,Vistara,Chennai,Kolkata,0,7414,135.0,7,5,9,20,March,Wednesday
58,Multiple carriers,Delhi,Cochin,1,8073,390.0,19,0,1,30,May,Monday
59,Vistara,Mumbai,Hyderabad,1,12395,1505.0,15,40,16,45,March,Wednesday
60,Air India,Kolkata,Banglore,1,8366,745.0,9,25,21,50,June,Thursday
61,Air India,Delhi,Cochin,1,5117,1640.0,6,5,9,25,April,Wednesday
62,Multiple carriers,Delhi,Cochin,1,12524,615.0,8,45,19,0,June,Monday
63,IndiGo,Delhi,Cochin,1,7191,630.0,15,0,1,30,May,Wednesday
64,Vistara,Chennai,Kolkata,0,3687,135.0,7,5,9,20,May,Friday
65,IndiGo,Delhi,Cochin,1,5894,625.0,10,35,21,0,June,Monday
66,Vistara,Banglore,Delhi,0,5403,170.0,9,45,12,35,April,Wednesday
67,Air India,Mumbai,Hyderabad,0,3625,90.0,13,55,15,25,May,Monday
68,Air India,Delhi,Cochin,2,10861,800.0,5,55,19,15,May,Tuesday
69,IndiGo,Chennai,Kolkata,0,6297,135.0,13,20,15,35,March,Tuesday
70,Jet Airways,Mumbai,Hyderabad,0,5678,85.0,7,5,8,30,June,Saturday
71,Jet Airways,Banglore,New Delhi,1,9134,1590.0,5,45,8,15,March,Saturday
72,Multiple carriers,Delhi,Cochin,1,10791,440.0,11,40,19,0,June,Monday
73,Jet Airways,Delhi,Cochin,2,12819,810.0,23,5,12,35,June,Monday
74,IndiGo,Delhi,Cochin,1,6893,300.0,5,5,10,5,March,Thursday
75,Vistara,Banglore,New Delhi,0,7240,165.0,9,50,12,35,March,Saturday
76,GoAir,Banglore,Delhi,0,3898,170.0,11,40,14,30,April,Wednesday
77,IndiGo,Mumbai,Hyderabad,0,4049,90.0,6,25,7,55,April,Wednesday
78,Jet Airways,Delhi,Cochin,1,10262,1145.0,17,30,12,35,June,Saturday
79,SpiceJet,Chennai,Kolkata,0,3332,135.0,8,20,10,35,March,Thursday
80,Jet Airways,Kolkata,Banglore,1,10844,890.0,21,10,12,0,June,Sunday
81,Jet Airways,Banglore,New Delhi,0,7229,160.0,19,55,22,35,March,Sunday
82,Jet Airways,Kolkata,Banglore,1,13941,1330.0,6,30,4,40,May,Monday
83,IndiGo,Delhi,Cochin,1,5894,575.0,11,25,21,0,June,Thursday
84,Multiple carriers,Delhi,Cochin,1,10197,600.0,9,0,19,0,May,Saturday
85,Jet Airways,Banglore,New Delhi,1,13712,1280.0,14,5,11,25,March,Wednesday
86,IndiGo,Delhi,Cochin,1,5636,325.0,2,0,7,25,June,Monday
87,Jet Airways,Delhi,Cochin,2,13014,1125.0,9,40,4,25,June,Thursday
88,Jet Airways,Kolkata,Banglore,1,7064,740.0,8,25,20,45,April,Monday
89,Jet Airways,Kolkata,Banglore,1,10703,1080.0,20,25,14,25,May,Friday
90,Multiple carriers,Delhi,Cochin,1,9646,555.0,13,15,22,30,May,Monday
91,Multiple carriers,Delhi,Cochin,1,17057,665.0,2,15,13,20,March,Wednesday
92,Jet Airways,Banglore,New Delhi,1,13817,1050.0,16,55,10,25,March,Tuesday
93,Air India,Delhi,Cochin,2,13748,800.0,5,55,19,15,March,Wednesday
94,Air India,Kolkata,Banglore,0,4880,155.0,20,45,23,20,April,Sunday
95,IndiGo,Chennai,Kolkata,0,3540,145.0,5,15,7,40,June,Friday
96,SpiceJet,Banglore,Delhi,0,3257,160.0,5,55,8,35,May,Wednesday
97,Jet Airways,Banglore,Delhi,0,6478,180.0,19,50,22,50,June,Monday
98,Jet Airways,Mumbai,Hyderabad,0,8040,85.0,7,5,8,30,June,Tuesday
99,Jet Airways,Delhi,Cochin,2,14300,995.0,20,0,12,35,June,Wednesday
100,Jet Airways,Kolkata,Banglore,1,14781,740.0,8,25,20,45,May,Wednesday
101,Jet Airways,Kolkata,Banglore,1,14939,735.0,20,0,8,15,June,Sunday
102,Jet Airways,Delhi,Cochin,1,10262,450.0,20,55,4,25,June,Monday
103,Air India,Kolkata,Banglore,1,6528,1440.0,14,35,14,35,May,Sunday
104,Air India,Banglore,Delhi,0,6121,165.0,6,10,8,55,May,Wednesday
105,Jet Airways,Delhi,Cochin,2,13029,535.0,19,30,4,25,May,Saturday
106,Multiple carriers,Delhi,Cochin,1,11421,430.0,11,40,18,50,March,Wednesday
107,Multiple carriers,Delhi,Cochin,1,7574,870.0,4,45,19,15,March,Wednesday
108,Air India,Delhi,Cochin,2,11596,1820.0,12,55,19,15,May,Thursday
109,Jet Airways,Delhi,Cochin,2,15129,1195.0,23,5,19,0,May,Friday
110,Jet Airways,Banglore,New Delhi,1,13555,900.0,14,5,5,5,March,Monday
111,IndiGo,Banglore,Delhi,0,5780,175.0,18,55,21,50,April,Friday
112,Vistara,Kolkata,Banglore,1,9397,765.0,20,20,9,5,May,Sunday
113,Jet Airways,Delhi,Cochin,1,17024,610.0,18,15,4,25,March,Wednesday
114,GoAir,Delhi,Cochin,1,5281,355.0,7,0,12,55,June,Thursday
115,Multiple carriers,Delhi,Cochin,1,10348,925.0,7,5,22,30,May,Saturday
116,Air India,Delhi,Cochin,1,12677,965.0,17,20,9,25,March,Wednesday
117,Multiple carriers,Delhi,Cochin,1,15147,610.0,15,25,1,35,March,Sunday
118,Vistara,Banglore,Delhi,0,4668,160.0,7,0,9,40,June,Wednesday
119,Jet Airways,Delhi,Cochin,1,15554,715.0,7,5,19,0,May,Thursday
120,SpiceJet,Banglore,Delhi,0,3971,160.0,5,55,8,35,April,Tuesday
121,Air India,Mumbai,Hyderabad,0,3100,85.0,15,0,16,25,May,Friday
122,Jet Airways,Kolkata,Banglore,1,9663,845.0,20,0,10,5,May,Monday
123,Air India,Delhi,Cochin,1,27430,1215.0,23,0,19,15,March,Friday
124,IndiGo,Chennai,Kolkata,0,3540,145.0,5,15,7,40,May,Sunday
125,Air India,Kolkata,Banglore,2,10676,1390.0,12,0,11,10,May,Tuesday
126,Jet Airways,Kolkata,Banglore,1,13044,1090.0,14,5,8,15,June,Wednesday
127,Jet Airways,Kolkata,Banglore,1,14388,960.0,20,0,12,0,May,Monday
128,IndiGo,Banglore,Delhi,0,3943,170.0,4,0,6,50,June,Monday
129,IndiGo,Chennai,Kolkata,0,3597,140.0,14,45,17,5,June,Monday
130,Air India,Banglore,New Delhi,1,5932,480.0,11,50,19,50,March,Thursday
131,Jet Airways,Delhi,Cochin,1,10262,1015.0,11,30,4,25,June,Saturday
132,Vistara,Delhi,Cochin,0,6216,190.0,14,40,17,50,May,Sunday
133,IndiGo,Kolkata,Banglore,0,4804,165.0,20,25,23,10,June,Saturday
134,Multiple carriers,Delhi,Cochin,1,14067,840.0,11,30,1,30,May,Tuesday
135,Jet Airways,Delhi,Cochin,2,15129,1430.0,19,10,19,0,May,Saturday
136,Jet Airways,Delhi,Cochin,2,13376,1300.0,6,45,4,25,June,Thursday
137,Air India,Delhi,Cochin,2,10441,1275.0,22,0,19,15,June,Thursday
138,Jet Airways,Banglore,Delhi,0,4030,165.0,6,0,8,45,May,Friday
139,Jet Airways,Delhi,Cochin,1,17024,650.0,8,0,18,50,March,Sunday
140,Multiple carriers,Delhi,Cochin,1,13017,480.0,17,30,1,30,April,Tuesday
141,GoAir,Kolkata,Banglore,1,6686,495.0,23,30,7,45,June,Thursday
142,IndiGo,Delhi,Cochin,1,5636,325.0,2,0,7,25,June,Saturday
143,IndiGo,Delhi,Cochin,1,6442,515.0,7,35,16,10,June,Sunday
144,Multiple carriers,Delhi,Cochin,1,9486,710.0,13,5,0,55,May,Tuesday
145,Jet Airways,Kolkata,Banglore,1,10844,1655.0,20,0,23,35,May,Tuesday
146,Jet Airways,Delhi,Cochin,2,15318,505.0,20,0,4,25,June,Monday
147,Air India,Delhi,Cochin,1,5117,1255.0,12,30,9,25,April,Wednesday
148,IndiGo,Delhi,Cochin,1,6147,290.0,15,10,20,0,June,Monday
149,Multiple carriers,Delhi,Cochin,1,7005,490.0,12,50,21,0,June,Sunday
150,SpiceJet,Kolkata,Banglore,0,3873,140.0,22,20,0,40,April,Wednesday
151,Jet Airways,Delhi,Cochin,2,9270,1465.0,18,25,18,50,March,Thursday
152,GoAir,Banglore,Delhi,0,3898,170.0,11,40,14,30,June,Thursday
153,Jet Airways,Kolkata,Banglore,1,14781,740.0,8,25,20,45,May,Sunday
154,Jet Airways,Kolkata,Banglore,1,8586,735.0,20,0,8,15,May,Friday
155,Air India,Kolkata,Banglore,2,10697,1415.0,8,20,7,55,May,Thursday
156,Jet Airways,Delhi,Cochin,2,14300,995.0,20,0,12,35,June,Thursday
157,IndiGo,Banglore,New Delhi,0,8855,170.0,18,55,21,45,March,Sunday
158,Jet Airways,Kolkata,Banglore,1,10844,1545.0,16,30,18,15,May,Sunday
159,Jet Airways,Delhi,Cochin,1,17024,1570.0,2,15,4,25,March,Wednesday
160,Jet Airways,Kolkata,Banglore,1,9314,1730.0,9,35,14,25,May,Wednesday
161,IndiGo,Banglore,New Delhi,0,4777,165.0,0,40,3,25,March,Sunday
162,Air India,Kolkata,Banglore,1,7662,1515.0,12,0,13,15,June,Sunday
163,IndiGo,Delhi,Cochin,1,6442,560.0,6,50,16,10,May,Thursday
164,SpiceJet,Delhi,Cochin,1,5264,270.0,8,45,13,15,June,Wednesday
165,Jet Airways,Delhi,Cochin,1,12898,925.0,13,0,4,25,May,Monday
166,Air India,Mumbai,Hyderabad,0,6092,90.0,13,55,15,25,March,Sunday
167,SpiceJet,Banglore,Delhi,0,3311,160.0,5,55,8,35,May,Tuesday
168,Jet Airways,Delhi,Cochin,1,6540,550.0,19,15,4,25,March,Wednesday
169,IndiGo,Banglore,Delhi,0,3419,165.0,1,30,4,15,May,Monday
170,Jet Airways,Delhi,Cochin,1,5177,1355.0,14,0,12,35,April,Wednesday
171,Air India,Delhi,Cochin,0,8246,185.0,18,5,21,10,April,Thursday
172,Jet Airways,Kolkata,Banglore,1,14676,690.0,9,35,21,5,June,Sunday
173,Multiple carriers,Delhi,Cochin,1,13587,570.0,11,30,21,0,June,Thursday
174,Jet Airways,Kolkata,Banglore,1,9663,730.0,21,10,9,20,May,Monday
175,Jet Airways,Kolkata,Banglore,1,13044,1055.0,16,30,10,5,June,Wednesday
176,IndiGo,Delhi,Cochin,1,5073,305.0,20,25,1,30,April,Wednesday
177,Vistara,Kolkata,Banglore,1,9345,1550.0,17,0,18,50,May,Tuesday
178,Jet Airways,Kolkata,Banglore,1,9663,1200.0,14,5,10,5,May,Monday
179,Multiple carriers,Delhi,Cochin,1,14277,780.0,8,0,21,0,May,Tuesday
180,Jet Airways,Delhi,Cochin,1,10262,1105.0,10,0,4,25,June,Saturday
181,Jet Airways,Mumbai,Hyderabad,0,5678,90.0,19,35,21,5,March,Wednesday
182,Multiple carriers,Delhi,Cochin,1,13727,570.0,16,0,1,30,May,Wednesday
183,Jet Airways,Kolkata,Banglore,1,9663,960.0,20,0,12,0,May,Monday
184,IndiGo,Chennai,Kolkata,0,3858,140.0,14,45,17,5,May,Sunday
185,SpiceJet,Delhi,Cochin,1,4812,270.0,8,45,13,15,June,Monday
186,IndiGo,Delhi,Cochin,1,5775,345.0,21,50,3,35,June,Thursday
187,Jet Airways,Kolkata,Banglore,1,10539,1450.0,9,35,9,45,June,Thursday
188,IndiGo,Kolkata,Banglore,0,4804,155.0,15,30,18,5,June,Monday
189,Air Asia,Banglore,Delhi,0,3383,165.0,11,10,13,55,June,Wednesday
190,IndiGo,Banglore,New Delhi,1,8738,295.0,12,10,17,5,March,Sunday
191,Air India,Delhi,Cochin,1,7165,1535.0,5,15,6,50,March,Wednesday
192,IndiGo,Delhi,Cochin,1,6412,380.0,16,10,22,30,June,Monday
193,Jet Airways,Banglore,Delhi,0,8016,185.0,18,55,22,0,June,Thursday
194,Jet Airways,Banglore,New Delhi,1,11087,1120.0,20,35,15,15,March,Tuesday
195,SpiceJet,Chennai,Kolkata,0,3543,135.0,9,45,12,0,June,Thursday
196,Jet Airways,Kolkata,Banglore,1,12471,730.0,16,30,4,40,June,Wednesday
197,Jet Airways,Delhi,Cochin,1,10262,1165.0,9,0,4,25,June,Monday
198,Air India,Banglore,New Delhi,0,4441,170.0,13,20,16,10,March,Monday
199,Multiple carriers,Delhi,Cochin,1,12537,505.0,7,5,15,30,March,Wednesday
200,GoAir,Kolkata,Banglore,1,10091,555.0,22,25,7,40,March,Sunday
201,Air India,Banglore,Delhi,0,6961,170.0,21,5,23,55,June,Monday
202,IndiGo,Delhi,Cochin,0,5013,195.0,5,35,8,50,April,Wednesday
203,Air India,Delhi,Cochin,0,6934,170.0,5,10,8,0,May,Saturday
204,Multiple carriers,Delhi,Cochin,1,10877,740.0,6,40,19,0,June,Monday
205,Jet Airways,Banglore,Delhi,0,7229,175.0,15,15,18,10,April,Thursday
206,IndiGo,Delhi,Cochin,1,7048,575.0,16,0,1,35,March,Wednesday
207,Vistara,Banglore,Delhi,0,4878,155.0,17,0,19,35,June,Thursday
208,Jet Airways,Kolkata,Banglore,1,10844,570.0,14,5,23,35,May,Tuesday
209,Jet Airways,Delhi,Cochin,2,15129,1760.0,23,5,4,25,May,Saturday
210,IndiGo,Banglore,Delhi,0,3943,175.0,0,30,3,25,May,Sunday
211,SpiceJet,Delhi,Cochin,1,5583,315.0,6,5,11,20,June,Thursday
212,Multiple carriers,Delhi,Cochin,1,9646,545.0,7,5,16,10,June,Thursday
213,Multiple carriers,Delhi,Cochin,1,7677,645.0,8,30,19,15,June,Monday
214,IndiGo,Delhi,Cochin,1,6842,295.0,5,10,10,5,June,Saturday
215,Jet Airways,Mumbai,Hyderabad,0,4995,90.0,8,45,10,15,June,Monday
216,Vistara,Kolkata,Banglore,1,9555,700.0,7,10,18,50,June,Sunday
217,IndiGo,Banglore,Delhi,0,4077,165.0,1,30,4,15,June,Saturday
218,Jet Airways,Banglore,Delhi,0,7229,175.0,15,15,18,10,May,Sunday
219,Multiple carriers,Delhi,Cochin,1,12192,600.0,9,0,19,0,June,Sunday
220,Air India,Banglore,Delhi,0,5911,165.0,10,0,12,45,April,Friday
221,Air India,Delhi,Cochin,1,8372,615.0,9,0,19,15,June,Wednesday
222,Jet Airways,Mumbai,Hyderabad,0,4995,85.0,7,10,8,35,March,Monday
223,Multiple carriers,Delhi,Cochin,1,14323,555.0,10,0,19,15,May,Thursday
224,Jet Airways,Delhi,Cochin,2,13014,1375.0,5,30,4,25,June,Sunday
225,Air India,Delhi,Cochin,2,13591,1730.0,14,25,19,15,June,Thursday
226,Jet Airways,Delhi,Cochin,2,18799,2245.0,5,25,18,50,March,Sunday
227,IndiGo,Banglore,Delhi,0,3943,170.0,23,30,2,20,April,Saturday
228,SpiceJet,Mumbai,Hyderabad,0,1965,90.0,5,45,7,15,May,Tuesday
229,Jet Airways,Mumbai,Hyderabad,0,4995,90.0,10,20,11,50,May,Monday
230,Air India,Kolkata,Banglore,1,14641,1540.0,16,50,18,30,March,Sunday
231,Air India,Kolkata,Banglore,0,4460,155.0,20,45,23,20,April,Friday
232,Air India,Delhi,Cochin,1,10191,375.0,13,0,19,15,May,Saturday
233,Jet Airways,Delhi,Cochin,1,13843,1050.0,2,15,19,45,March,Saturday
234,IndiGo,Delhi,Cochin,1,6349,345.0,21,50,3,35,May,Wednesday
235,Air Asia,Kolkata,Banglore,0,4409,155.0,10,20,12,55,May,Wednesday
236,Jet Airways,Delhi,Cochin,1,17024,1530.0,18,15,19,45,March,Wednesday
237,Multiple carriers,Delhi,Cochin,1,13727,835.0,7,5,21,0,May,Saturday
238,IndiGo,Banglore,New Delhi,0,8855,175.0,18,25,21,20,March,Friday
239,Multiple carriers,Delhi,Cochin,1,12524,615.0,8,45,19,0,June,Monday
240,Jet Airways,Banglore,New Delhi,1,13555,520.0,11,40,20,20,March,Monday
241,Jet Airways,Kolkata,Banglore,1,10844,330.0,6,30,12,0,June,Thursday
242,Multiple carriers,Delhi,Cochin,1,13587,720.0,9,0,21,0,June,Sunday
243,SpiceJet,Chennai,Kolkata,0,3543,135.0,9,45,12,0,June,Wednesday
244,Vistara,Chennai,Kolkata,0,4842,135.0,7,5,9,20,March,Monday
245,IndiGo,Banglore,Delhi,0,3943,170.0,23,30,2,20,April,Wednesday
246,Jet Airways,Delhi,Cochin,1,10577,550.0,19,15,4,25,June,Sunday
247,IndiGo,Delhi,Cochin,1,6979,625.0,10,35,21,0,May,Wednesday
248,Vistara,Chennai,Kolkata,0,11982,140.0,17,45,20,5,June,Thursday
249,SpiceJet,Delhi,Cochin,1,5264,270.0,8,45,13,15,June,Thursday
250,Vistara,Delhi,Cochin,0,8001,190.0,6,0,9,10,March,Sunday
251,Air India,Delhi,Cochin,2,10651,1410.0,19,45,19,15,June,Saturday
252,Jet Airways,Kolkata,Banglore,1,10844,1640.0,16,30,19,50,May,Friday
253,Multiple carriers,Delhi,Cochin,1,6601,755.0,9,45,22,20,March,Wednesday
254,Air India,Delhi,Cochin,1,6587,1455.0,19,0,19,15,March,Thursday
255,SpiceJet,Mumbai,Hyderabad,0,3173,80.0,13,10,14,30,March,Thursday
256,Air India,Banglore,Delhi,0,5228,165.0,10,0,12,45,May,Thursday
257,Jet Airways,Banglore,Delhi,0,5769,180.0,7,10,10,10,June,Friday
258,Jet Airways,Delhi,Cochin,1,14714,660.0,8,0,19,0,June,Thursday
259,Jet Airways,Delhi,Cochin,2,13014,810.0,5,30,19,0,June,Monday
260,IndiGo,Banglore,Delhi,0,3359,170.0,22,10,1,0,June,Monday
261,GoAir,Banglore,New Delhi,0,6722,175.0,20,55,23,50,March,Sunday
262,IndiGo,Kolkata,Banglore,0,4462,165.0,9,35,12,20,March,Monday
263,IndiGo,Delhi,Cochin,1,6171,675.0,4,55,16,10,March,Saturday
264,Air India,Kolkata,Banglore,2,12303,875.0,5,50,20,25,May,Tuesday
265,Multiple carriers,Delhi,Cochin,1,7695,835.0,11,40,1,35,March,Thursday
266,IndiGo,Delhi,Cochin,1,5684,845.0,11,25,1,30,June,Monday
267,Air India,Kolkata,Banglore,1,8366,905.0,16,50,7,55,June,Wednesday
268,Air India,Chennai,Kolkata,0,19630,135.0,11,40,13,55,March,Friday
269,Jet Airways,Banglore,New Delhi,1,13502,900.0,14,5,5,5,March,Wednesday
270,Jet Airways,Kolkata,Banglore,1,14781,775.0,21,10,10,5,May,Wednesday
271,Multiple carriers,Delhi,Cochin,1,6513,540.0,7,10,16,10,June,Wednesday
272,Air India,Delhi,Cochin,1,9929,735.0,7,0,19,15,June,Saturday
273,Multiple carriers,Delhi,Cochin,2,18275,460.0,17,50,1,30,June,Thursday
274,Air India,Delhi,Cochin,1,4487,1640.0,6,5,9,25,April,Tuesday
275,IndiGo,Mumbai,Hyderabad,0,2754,85.0,21,20,22,45,March,Friday
276,Air India,Mumbai,Hyderabad,0,2575,80.0,6,20,7,40,March,Wednesday
277,SpiceJet,Kolkata,Banglore,1,8224,330.0,15,55,21,25,June,Wednesday
278,Air India,Delhi,Cochin,1,8991,705.0,20,30,8,15,March,Saturday
279,IndiGo,Delhi,Cochin,0,5000,195.0,5,35,8,50,June,Monday
280,Jet Airways,Kolkata,Banglore,1,8529,1495.0,18,55,19,50,June,Wednesday
281,Air India,Delhi,Cochin,1,14042,1640.0,6,5,9,25,March,Sunday
282,Jet Airways,Banglore,Delhi,0,4030,175.0,11,10,14,5,May,Friday
283,Jet Airways,Kolkata,Banglore,1,10844,1025.0,18,55,12,0,June,Thursday
284,IndiGo,Kolkata,Banglore,0,4804,160.0,21,25,0,5,May,Monday
285,Multiple carriers,Delhi,Cochin,1,7308,480.0,17,30,1,30,May,Monday
286,IndiGo,Banglore,Delhi,0,4823,180.0,16,55,19,55,May,Sunday
287,Jet Airways,Delhi,Cochin,1,10262,1655.0,9,0,12,35,June,Monday
288,Jet Airways,Delhi,Cochin,1,12898,450.0,20,55,4,25,May,Monday
289,Air India,Banglore,New Delhi,2,12778,1375.0,17,25,16,20,March,Tuesday
290,IndiGo,Delhi,Cochin,1,14871,515.0,4,45,13,20,March,Sunday
291,Air India,Delhi,Cochin,2,8708,1795.0,13,20,19,15,March,Thursday
292,Jet Airways,Kolkata,Banglore,1,10844,1335.0,20,0,18,15,June,Thursday
293,SpiceJet,Mumbai,Hyderabad,0,4129,80.0,5,45,7,5,March,Wednesday
294,IndiGo,Kolkata,Banglore,0,4804,160.0,21,25,0,5,May,Saturday
295,Jet Airways,Banglore,Delhi,0,7229,180.0,8,20,11,20,May,Monday
296,Jet Airways,Banglore,New Delhi,1,7832,730.0,7,0,19,10,March,Thursday
297,SpiceJet,Chennai,Kolkata,0,3859,155.0,9,30,12,5,March,Monday
298,Multiple carriers,Delhi,Cochin,1,9001,705.0,7,30,19,15,June,Thursday
299,Vistara,Banglore,Delhi,0,4878,155.0,17,0,19,35,May,Thursday
300,IndiGo,Mumbai,Hyderabad,0,2754,90.0,2,35,4,5,May,Friday
301,Vistara,Banglore,Delhi,0,4668,160.0,7,0,9,40,June,Thursday
302,Air Asia,Kolkata,Banglore,0,5216,155.0,10,20,12,55,May,Sunday
303,Jet Airways,Delhi,Cochin,2,10368,1375.0,5,30,4,25,June,Thursday
304,IndiGo,Delhi,Cochin,2,8146,880.0,6,40,21,20,March,Saturday
305,Jet Airways,Delhi,Cochin,1,12242,925.0,13,0,4,25,March,Wednesday
306,Jet Airways,Banglore,New Delhi,1,9134,435.0,8,0,15,15,March,Friday
307,Air India,Delhi,Cochin,2,10939,1210.0,13,15,9,25,June,Thursday
308,Air India,Delhi,Cochin,2,11753,1245.0,10,55,7,40,June,Thursday
309,SpiceJet,Kolkata,Banglore,0,4174,150.0,17,10,19,40,April,Wednesday
310,Jet Airways,Kolkata,Banglore,1,10844,1430.0,20,0,19,50,May,Tuesday
311,Jet Airways,Delhi,Cochin,1,14714,1620.0,16,0,19,0,June,Monday
312,Jet Airways,Kolkata,Banglore,1,9899,330.0,6,30,12,0,June,Wednesday
313,IndiGo,Delhi,Cochin,1,14871,710.0,9,10,21,0,March,Sunday
314,IndiGo,Chennai,Kolkata,0,7295,135.0,13,20,15,35,March,Wednesday
315,Air India,Delhi,Cochin,2,13465,1470.0,18,45,19,15,June,Thursday
316,SpiceJet,Chennai,Kolkata,0,3543,140.0,17,45,20,5,May,Tuesday
317,Multiple carriers,Delhi,Cochin,1,7198,390.0,19,0,1,30,June,Thursday
318,Jet Airways,Delhi,Cochin,1,10262,1225.0,8,0,4,25,June,Saturday
319,IndiGo,Kolkata,Banglore,0,4148,155.0,15,20,17,55,March,Friday
320,Jet Airways,Banglore,Delhi,0,8016,175.0,15,15,18,10,June,Thursday
321,Jet Airways,Delhi,Cochin,1,10262,335.0,22,50,4,25,June,Sunday
